label,sweep,m_easy,m_medium,m_hard,seed,verify_token_budget,Y,min_x,x_p10,x_median,x_max,eta,verifier_tokens_per_s,fill_ratio,mean_batch_size,target_utilization,mean_selected_gamma,share_easy_gsm8k,x_mean_easy_gsm8k,x_min_easy_gsm8k,alpha_hat_mean_easy_gsm8k,alpha_ucb_mean_easy_gsm8k,gamma_mean_easy_gsm8k,verification_opportunities_easy_gsm8k,verifier_token_positions_easy_gsm8k,verifier_token_share_easy_gsm8k,committed_useful_tokens_easy_gsm8k,committed_useful_token_share_easy_gsm8k,avg_wait_ms_easy_gsm8k,avg_z_queue_easy_gsm8k,share_medium_cnn_summarize,x_mean_medium_cnn_summarize,x_min_medium_cnn_summarize,alpha_hat_mean_medium_cnn_summarize,alpha_ucb_mean_medium_cnn_summarize,gamma_mean_medium_cnn_summarize,verification_opportunities_medium_cnn_summarize,verifier_token_positions_medium_cnn_summarize,verifier_token_share_medium_cnn_summarize,committed_useful_tokens_medium_cnn_summarize,committed_useful_token_share_medium_cnn_summarize,avg_wait_ms_medium_cnn_summarize,avg_z_queue_medium_cnn_summarize,share_hard_math,x_mean_hard_math,x_min_hard_math,alpha_hat_mean_hard_math,alpha_ucb_mean_hard_math,gamma_mean_hard_math,verification_opportunities_hard_math,verifier_token_positions_hard_math,verifier_token_share_hard_math,committed_useful_tokens_hard_math,committed_useful_token_share_hard_math,avg_wait_ms_hard_math,avg_z_queue_hard_math,sweep_label
mhard_8_wide10,a_wide10,1.0,1.0,8.0,2,10,37.16532623181142,1.2777716626208149,1.3173187929774577,1.681513620028478,2.465971010147576,0.7685709909633941,41.456051127615694,0.7046950890447921,1.7873718294657313,0.7046950890447921,2.9426328502415457,0.3498342911581708,1.8573865082811316,1.6788279615737105,0.8912704192871336,0.9999990000000004,2.875241779497099,1034,4007.0,0.3068616939807015,3360,0.3347947389398166,1442.0962083177665,0.0,0.3445469700108151,1.4228000602926767,1.2777716626208149,0.7648534499572267,0.9846695109135644,3.338320864505403,1203,5219.0,0.3996783580946546,3316,0.3304105221203667,1483.6778726967375,0.0,0.3056187388310138,2.2716840262418807,2.133440523645102,0.9325265477481676,0.999999,2.564651162790698,1075,3832.0,0.2934599479246439,3360,0.3347947389398166,1088.4492052784449,0.0,A_boost_hardmath_budget10
mhard_16_wide10,a_wide10,1.0,1.0,16.0,2,10,38.50957033741375,1.3004869015433702,1.3357851400745735,1.7083593140632831,2.5164917536213496,0.7693899448191294,43.00318932597252,0.7212824765063569,1.834162520729685,0.7212824765063569,2.932489451476793,0.3530201940208486,1.9420937131676173,1.6890919466129946,0.9027541252253488,0.9999990000000002,2.8302972195589646,1043,3995.0,0.3061771919068056,3360,0.3346946907062456,1357.2446351943736,0.0,0.3434481368253292,1.4695600202587464,1.3004869015433702,0.7622180966253895,0.985393331022816,3.326699834162521,1206,5218.0,0.3999080318822808,3319,0.3306106185875087,1427.698981441242,0.0,0.3035316691538219,2.3377748325823413,2.2147565318097437,0.937645552297806,0.9999919972679944,2.587464920486436,1069,3835.0,0.2939147762109135,3360,0.3346946907062456,1049.9723854489137,0.0,A_boost_hardmath_budget10
mhard_32_wide10,a_wide10,1.0,1.0,32.0,2,10,37.85712150102058,1.2933481914059963,1.3395376889366095,1.677518085733695,2.4963544350177576,0.7659948083676897,42.64196086723518,0.718880351262349,1.8309549945115255,0.718880351262349,2.926258992805755,0.353015926364876,1.909166688027207,1.6623615368192155,0.889536084588737,0.9999538896592388,2.828598484848485,1056,4043.0,0.3086730798595205,3360,0.3348948470048838,1361.634430005836,0.0,0.340883454376076,1.4338740388891904,1.2933481914059963,0.767536854363152,0.9817877750537986,3.327841845140033,1214,5254.0,0.4011299435028249,3313,0.3302103059902322,1444.2613647661708,0.0,0.306100619259048,2.3176176669654844,2.1877689496703345,0.9305063866175224,0.999984872329834,2.565666041275797,1066,3801.0,0.2901969766376546,3360,0.3348948470048838,1062.1792951206753,0.0,A_boost_hardmath_budget10
mhard_64_wide10,a_wide10,1.0,1.0,64.0,2,10,37.74289527621503,1.2958436594172715,1.3369607636022531,1.687826938904459,2.4687423674418625,0.7681769478034594,41.57671812536725,0.7093376764386536,1.8051031487513567,0.7093376764386536,2.929624060150376,0.3512581770137467,1.893928655706292,1.6648118590559615,0.8979172791515934,0.9999990000000002,2.840537944284342,1041,3998.0,0.3059849992346548,3360,0.3347613828833317,1403.9758278307502,0.0,0.3452024453107878,1.447659971384268,1.2958436594172715,0.7782437374380482,0.9867955640982662,3.3361344537815127,1190,5160.0,0.3949181080667381,3317,0.3304772342333366,1478.0659767625054,0.0,0.3035393776754654,2.2912909887625146,2.1383403168717887,0.9161021022475722,0.9995928900928606,2.5722120658135283,1094,3908.0,0.299096892698607,3360,0.3347613828833317,1054.2031218377674,0.0,A_boost_hardmath_budget10
mhard_1_wide10,a_wide10,1.0,1.0,1.0,3,10,38.468513135669646,1.337180698568939,1.3679654883776495,1.7385125992612174,2.481706982211592,0.7562457798784605,42.852637467874615,0.7063593004769476,1.7906730259671435,0.7063593004769476,2.944658182894347,0.3564401676998864,1.958817610463339,1.7118305159357452,0.8997208090449202,0.9999990000000004,2.869439071566731,1034,4001.0,0.3001725560807262,3360,0.3333333333333333,1356.5507645095254,0.0,0.3463715212983115,1.4804886018762191,1.337180698568939,0.7725879241659172,0.9794969638881784,3.3488182559087205,1227,5336.0,0.4003301072848675,3360,0.3333333333333333,1408.5961674175533,0.0,0.2971883110018021,2.2864784891080605,2.160475082782785,0.922759957275656,0.999868559854206,2.5706618962432914,1118,3992.0,0.2994973366344062,3360,0.3333333333333333,1016.721302438668,0.0,A_boost_hardmath_budget10
mhard_2_wide10,a_wide10,1.0,1.0,2.0,3,10,38.55381207239492,1.290988769194536,1.37979987025016,1.700504782716609,2.512172187983336,0.7668314948649677,42.96552199907547,0.7124661246612466,1.8065040650406503,0.7124661246612466,2.943894389438944,0.352782060442691,1.9430133229742537,1.654390624791094,0.8949307684907556,0.9999990000000002,2.84375,1056,4059.0,0.3087866108786611,3360,0.3333333333333333,1339.7490187809003,0.0,0.3462306794434197,1.4831680609954676,1.290988769194536,0.7818458387912356,0.9833766874374156,3.354063018242123,1206,5251.0,0.399467478128566,3360,0.3333333333333333,1433.684550830175,0.0,0.3009872601138891,2.3208412525231856,2.1964876974803134,0.9389287940692738,0.9999990000000004,2.580765639589169,1071,3835.0,0.2917459109927729,3360,0.3333333333333333,1059.1073634169124,0.0,A_boost_hardmath_budget10
mhard_4_wide10,a_wide10,1.0,1.0,4.0,3,10,38.19024822730077,1.3029052291007148,1.36996243794349,1.7020193111855213,2.47850299247859,0.7637162776598969,42.039218586020304,0.7037866666666667,1.7856,0.7037866666666667,2.941457586618877,0.3572588071263167,1.9491146465062008,1.6490233629199051,0.9016210147043904,0.9999737805893134,2.8482228626320847,1041,4006.0,0.3035768414671112,3360,0.333399484024608,1368.3694380343045,0.0,0.3438440843409048,1.4590545480520107,1.3029052291007148,0.7774430928744774,0.9797010971204496,3.362068965517241,1218,5313.0,0.4026220066686874,3358,0.3332010319507839,1448.920974715716,0.0,0.2988971085327785,2.282990953857854,2.140827136238682,0.9227372123965724,0.999999,2.5601469237832872,1089,3877.0,0.2938011518642012,3360,0.333399484024608,1065.9857322925686,0.0,A_boost_hardmath_budget10
mhard_8_wide10,a_wide10,1.0,1.0,8.0,3,10,37.59724012216398,1.3232491937939683,1.3794010376352803,1.6686643198032425,2.460654826620828,0.760667479427004,42.0928953721563,0.7113279132791328,1.8,0.7113279132791328,2.9518217404396268,0.3490875541692353,1.874961228251381,1.436445858235968,0.8838244598524524,0.9999990000000002,2.896722939424032,1007,3924.0,0.2989942090825968,3268,0.3273565060603025,1424.8814799306765,0.0,0.3482183586378669,1.4546721382948553,1.3232491937939683,0.7807411937916827,0.9814445837300496,3.338748984565394,1231,5341.0,0.4069643401402011,3355,0.3360713212461184,1434.0931890038416,0.0,0.3026940871928975,2.276092455950122,2.1553204579464365,0.9317043137633628,0.999999,2.5632502308402585,1083,3859.0,0.294041450777202,3360,0.3365721726935791,1067.7136910914007,0.0,A_boost_hardmath_budget10
mhard_16_wide10,a_wide10,1.0,1.0,16.0,3,10,37.90476813061797,1.2819213060143189,1.3424435856071968,1.675072107297928,2.494734509463707,0.7630741246020919,42.55724729052384,0.7116504854368932,1.807443365695793,0.7116504854368932,2.937332139659803,0.352851859073205,1.910681128946761,1.6443497453265636,0.8959883019117099,0.9999831440898864,2.8420056764427626,1057,4061.0,0.3077914203425799,3360,0.33373063170441,1375.6072583145576,0.0,0.3443488015759809,1.4502734977548597,1.2819213060143189,0.7670062169885999,0.978780487615174,3.340668296658517,1227,5326.0,0.4036683340912536,3348,0.33253873659118,1445.4712213520609,0.0,0.3027993393508141,2.295507749639383,2.167536014797031,0.937863636620844,0.9999990000000004,2.5679475164011247,1067,3807.0,0.2885402455661664,3360,0.33373063170441,1087.4740576835638,0.0,A_boost_hardmath_budget10
mhard_32_wide10,a_wide10,1.0,1.0,32.0,3,10,38.89534458081858,1.358672418018695,1.442275169434943,1.7105675055103111,2.524198145346084,0.7682629251181943,42.80102477096368,0.7065732758620689,1.793103448275862,0.7065732758620689,2.9405048076923075,0.3503666137334493,1.9468043101110104,1.65635277322495,0.8870606932611079,0.9999976706981244,2.8556603773584905,1060,4087.0,0.3116516699710233,3360,0.3334987593052109,1330.6706936735684,0.0,0.350391303855408,1.514287833508711,1.358672418018695,0.7820378265577572,0.98207046970806,3.344712739383847,1201,5218.0,0.3978953789842916,3355,0.3330024813895781,1418.4224370317472,0.0,0.2992420824111428,2.3278247816926223,2.1932506211748963,0.93702745944149,0.9999990000000004,2.5698219306466727,1067,3809.0,0.290452951044685,3360,0.3334987593052109,1060.10519610524,0.0,A_boost_hardmath_budget10
mhard_64_wide10,a_wide10,1.0,1.0,64.0,3,10,37.93423487380016,1.3385924481305955,1.3475295623226018,1.6772558953710983,2.4610490414845967,0.7618471770841206,42.67122336271621,0.7151891891891892,1.8135135135135132,0.7151891891891892,2.9436661698956783,0.3528863071326962,1.912353151217097,1.6402289116381394,0.8962139257393588,0.9999990000000004,2.8454976303317534,1055,4057.0,0.3066283727609402,3360,0.3333333333333333,1367.463980859692,0.0,0.3454160990564714,1.455899492311112,1.3385924481305955,0.7710574295891417,0.9781589771476722,3.3509771986970684,1228,5343.0,0.4038243519008389,3360,0.3333333333333333,1436.2649482656032,0.0,0.3016975938108325,2.288933476896095,2.167263404107421,0.9354487841848425,0.999999,2.5736940298507465,1072,3831.0,0.2895472753382208,3360,0.3333333333333333,1074.1405613233412,0.0,A_boost_hardmath_budget10
mmed_1_wide10,am_wide10,1.0,1.0,1.0,1,10,41.86019250081938,1.4641891703506231,1.561633400090383,1.869299307942076,2.724002809024138,0.7535569866706605,46.93828696713921,0.7198921832884098,1.821024258760108,0.7198921832884098,2.9532267613972767,0.3512082289832092,2.100234867586999,1.8636502927358352,0.8905861451978384,0.999980453660572,2.8803418803418803,1053,4086.0,0.3059757376067096,3360,0.3338964523501938,1216.6262282620787,0.0,0.3484476786847503,1.6206763229119232,1.4641891703506231,0.7570134945330611,0.9790073697535672,3.343137254901961,1224,5316.0,0.3980829713943388,3343,0.3322070952996124,1260.522120059279,0.0,0.3003440923320403,2.514492304300615,2.36202851893946,0.9099545374908806,0.9997794516262256,2.589464123524069,1101,3952.0,0.2959412909989516,3360,0.3338964523501938,915.512961272894,0.0,AM_boost_cnn_budget10
mmed_2_wide10,am_wide10,1.0,2.0,1.0,1,10,45.63490146376381,1.617220874095901,1.7796507934191523,2.0073681715378955,2.9074042899126358,0.7467527647888369,50.357689475018,0.7318305268875611,1.85605649103748,0.7318305268875611,2.942932396839333,0.3414510801841148,2.226012342699685,2.00160532393423,0.8694951848928828,0.9999614866689784,2.874538745387454,1084,4200.0,0.3117345802716544,3360,0.3339628267567836,1085.2845123170937,0.0,0.362971537265072,1.8404633708047156,1.617220874095901,0.7567945757670637,0.9785170885689116,3.323817292006525,1226,5301.0,0.3934535738142952,3341,0.3320743464864327,1058.1773059570055,0.0,0.2955773825508132,2.697728945524716,2.5117173107112074,0.9134164846915412,0.9998096812575492,2.588075880758808,1107,3972.0,0.2948118459140503,3360,0.3339628267567836,820.0208464254249,0.0,AM_boost_cnn_budget10
mmed_4_wide10,am_wide10,1.0,4.0,1.0,1,10,44.6342862188687,1.5553290858505378,1.709190523496793,1.9572764560505265,2.9046121237027367,0.7533158486324466,48.13384543666386,0.7151661307609861,1.8258306538049305,0.7151661307609861,2.916935720575286,0.3435322451193359,2.190473793438143,1.9086866524644013,0.8736437177979219,0.9996592984033176,2.833333333333333,1074,4117.0,0.3085050580741851,3360,0.3342285884810504,1113.1925717521297,0.0,0.3619130542873707,1.7948589834897193,1.5553290858505378,0.753316772184698,0.9774619205141164,3.3220757825370675,1214,5247.0,0.3931809666541776,3333,0.3315428230378991,1103.1281467933557,0.0,0.2945547005932932,2.629447762678845,2.423824963165089,0.891543345878963,0.9990950092893836,2.557640750670241,1119,3981.0,0.2983139752716373,3360,0.3342285884810504,837.6004185695355,0.0,AM_boost_cnn_budget10
mmed_8_wide10,am_wide10,1.0,8.0,1.0,1,10,45.32737494662119,1.611539273537555,1.732235610279922,1.993822849031964,2.957901170666742,0.7601450918159147,49.25946107292543,0.7199673558215451,1.840043525571273,0.7199673558215451,2.912773506800709,0.3411918384041718,2.20933291258184,1.9359021899747888,0.8777285997526328,0.999985120476242,2.835195530726257,1074,4119.0,0.3112672863296304,3360,0.3340292275574112,1108.5186415055844,0.0,0.3626478353822733,1.82643048977254,1.611539273537555,0.767897978171237,0.9810665670197616,3.316708229426434,1203,5193.0,0.3924280208569485,3339,0.3319415448851774,1095.7255972506714,0.0,0.2961603262135551,2.684834030119091,2.501500630318589,0.9055765808457356,0.9999990000000002,2.54841628959276,1105,3921.0,0.296304692813421,3360,0.3340292275574112,831.4349417158464,0.0,AM_boost_cnn_budget10
mmed_16_wide10,am_wide10,1.0,16.0,1.0,1,10,45.22782125480575,1.5830492745225062,1.7496607598586775,2.0042535743612047,2.92368248581994,0.749088202456271,49.5578345767072,0.7234787291330103,1.8449111470113089,0.7234787291330103,2.92148277875073,0.3433393828014264,2.2183560335826056,1.9204161989805035,0.8674274866650415,0.9990206597308008,2.8376146788990826,1090,4183.0,0.31135094901377,3360,0.3338632750397456,1087.8723035642245,0.0,0.3623813494007093,1.8210798774189545,1.5830492745225062,0.7567060761306228,0.9801659399154248,3.323190789473684,1216,5257.0,0.3912914030517305,3344,0.3322734499205087,1074.2223100159397,0.0,0.2942792677978642,2.661922024591383,2.4788139066280044,0.9113925533424052,0.999951853888816,2.5669642857142856,1120,3995.0,0.2973576479344994,3360,0.3338632750397456,821.4457406488413,0.0,AM_boost_cnn_budget10
mmed_32_wide10,am_wide10,1.0,32.0,1.0,1,10,45.78880265583831,1.6035398352260322,1.7375780697206331,2.0223588562321275,3.002414847146333,0.7546872656367182,48.52584504988643,0.7126670229823624,1.81560662747194,0.7126670229823624,2.925228142478657,0.3436684178056938,2.2480236231355866,1.9708649995669216,0.8749733515596303,0.9999429152204474,2.8666666666666667,1065,4118.0,0.3088345582720864,3360,0.3338964523501938,1095.341329624033,0.0,0.3613244528150381,1.8382904516307268,1.6035398352260322,0.754663380028056,0.9786495998674988,3.3243021346469623,1218,5267.0,0.3950052497375131,3343,0.3322070952996124,1065.1568906026894,0.0,0.295007129379268,2.701604645842533,2.445580311498701,0.9001869048349442,0.9995367741945812,2.544883303411131,1114,3949.0,0.2961601919904005,3360,0.3338964523501938,823.2366695566162,0.0,AM_boost_cnn_budget10
mmed_64_wide10,am_wide10,1.0,64.0,1.0,1,10,46.28051800010049,1.6282975252325833,1.7637381284145226,2.033838001153103,3.0144428195015665,0.7421782762691853,51.06003251536364,0.7361216730038023,1.875067897881586,0.7361216730038023,2.925840092699884,0.3415677181714198,2.2582758470122357,1.9759858389006209,0.868002670265207,0.9994786233184172,2.841011743450768,1107,4252.0,0.313754427390791,3360,0.3340624378604096,1045.760897102974,0.0,0.3624882937986317,1.8640162228859212,1.6282975252325833,0.7459131395852014,0.9755472914115766,3.322528363047001,1234,5334.0,0.393595041322314,3338,0.3318751242791807,1027.4744668809417,0.0,0.2959439880299485,2.739288213008311,2.531902438778362,0.8978674505621972,0.9996380320873134,2.56975697569757,1111,3966.0,0.2926505312868949,3360,0.3340624378604096,797.3743918436255,0.0,AM_boost_cnn_budget10
mmed_1_wide10,am_wide10,1.0,1.0,1.0,2,10,37.168285043146845,1.292906985712478,1.3773350232070614,1.6683476704888762,2.4011872770304863,0.7630255941499086,41.50824216276588,0.7050483351235229,1.7900107411385606,0.7050483351235229,2.938793879387939,0.3514675626505572,1.8662066502879973,1.655572133217006,0.8860408458204554,0.9999990000000004,2.861111111111111,1044,4031.0,0.3070536258379037,3360,0.3354297693920335,1415.0412426104108,0.0,0.3471322661764779,1.433590112991206,1.292906985712478,0.7780612033063011,0.9863701997090248,3.360780984719864,1178,5137.0,0.3913010359536867,3297,0.3291404612159329,1494.3776726619024,0.0,0.3014001711729651,2.240505494842004,2.1247363447119643,0.9280767371108912,0.9998700371786512,2.5643564356435644,1111,3960.0,0.3016453382084095,3360,0.3354297693920335,1056.484142444355,0.0,AM_boost_cnn_budget10
